gene_id	bundle_id	chr	left	right	FPKM	FPKM_conf_lo	FPKM_conf_hi	status
NCU08065	18616	supercont10.1	149979	151799	23.9604	14.1706	33.7503	OK
NCU10696	18618	supercont10.1	155788	156779	25.6919	15.5545	35.8294	OK
NCU08066	18617	supercont10.1	152473	154474	111.481	90.3638	132.598	OK
NCU08068	18620	supercont10.1	162306	163492	21.1893	11.9829	30.3957	OK
NCU08067	18619	supercont10.1	159332	161058	48.5023	34.5736	62.4311	OK
NCU08064	18615	supercont10.1	144696	148886	53.1608	38.5785	67.7431	OK
NCU08069	18621	supercont10.1	163962	166034	5.50292	0.811259	10.1946	OK
NCU08070	18622	supercont10.1	170929	172912	74.3023	57.0626	91.5421	OK
NCU08071	18623	supercont10.1	173499	174822	36.873	24.7284	49.0176	OK
NCU08074	18626	supercont10.1	181222	181975	0	0	0	OK
NCU08073	18625	supercont10.1	178613	180167	0.360156	0	1.56042	OK
NCU08078	18630	supercont10.1	190406	191138	0	0	0	OK
NCU08079	18631	supercont10.1	193143	194064	0	0	0	OK
NCU08080	18632	supercont10.1	195020	195335	0	0	0	OK
NCU11430	18633	supercont10.1	195780	196290	0	0	0	OK
NCU08081	18634	supercont10.1	198194	198497	0	0	0	OK
NCU08077	18629	supercont10.1	188530	189595	0	0	0	OK
NCU08083	18635	supercont10.1	208394	209343	0	0	0	OK
NCU08084	18636	supercont10.1	210486	212487	0	0	0	OK
NCU08075	18627	supercont10.1	182427	185051	0	0	0	OK
NCU08086	18638	supercont10.1	216104	216521	0	0	0	OK
NCU08085	18637	supercont10.1	214619	215734	0	0	0	OK
NCU08089	18640	supercont10.1	224661	224874	0	0	0	OK
NCU08087	18639	supercont10.1	219848	220676	0	0	0	OK
NCU08076	18628	supercont10.1	186097	187966	33.5211	21.9416	45.1006	OK
NCU08072	18624	supercont10.1	175340	177785	110.209	89.2129	131.205	OK
NCU10622	18642	supercont10.1	231582	232581	12.1619	5.18711	19.1367	OK
NCU08091	18643	supercont10.1	233303	234489	42.4773	29.4424	55.5122	OK
NCU11431	18641	supercont10.1	226934	227879	38.0081	30.2799	45.7363	OK
NCU08090	18641	supercont10.1	227817	228981	56.8831	45.0625	68.7038	OK
NCU08092	18644	supercont10.1	234869	236578	176.019	149.485	202.553	OK
NCU08094	18646	supercont10.1	239227	240760	44.738	31.3607	58.1153	OK
NCU08093	18645	supercont10.1	237548	238578	432.709	391.106	474.313	OK
NCU08095	18647	supercont10.1	240861	241804	40.0745	27.4136	52.7353	OK
NCU11432	18649	supercont10.1	246886	247478	0.630006	0	2.21746	OK
NCU08101	18654	supercont10.1	257492	259361	0	0	0	OK
NCU08102	18655	supercont10.1	262019	263387	0	0	0	OK
NCU08098	18651	supercont10.1	253477	254492	4.67698	0.351715	9.00225	OK
NCU08100	18653	supercont10.1	256165	256627	4.95539	0.503251	9.40754	OK
NCU08099	18652	supercont10.1	254974	255694	6.88838	1.63923	12.1375	OK
NCU08103	18656	supercont10.1	264035	265388	0	0	0	OK
NCU08106	18658	supercont10.1	293166	294573	0	0	0	OK
NCU08105	18657	supercont10.1	291632	292877	0	0	0	OK
NCU08107	18659	supercont10.1	296498	297770	0	0	0	OK
NCU08096	18648	supercont10.1	243323	246248	0.599283	0	2.14755	OK
NCU08109	18660	supercont10.1	302352	303729	0	0	0	OK
NCU08097	18650	supercont10.1	249096	251944	1.23023	0	3.44854	OK
NCU08113	18664	supercont10.1	314120	315177	1.04565	0	3.09079	OK
NCU08111	18662	supercont10.1	309018	310364	23.3319	13.6712	32.9925	OK
NCU08112	18663	supercont10.1	311540	313460	11.455	4.68594	18.224	OK
NCU08116	18667	supercont10.1	328657	330088	0	0	0	OK
NCU08114	18665	supercont10.1	318872	321079	3.58124	0	7.36608	OK
NCU08110	18661	supercont10.1	305673	308461	45.1703	31.7285	58.6121	OK
NCU08117	18668	supercont10.1	332262	334580	4.33977	0.17335	8.5062	OK
NCU08115	18666	supercont10.1	325062	328500	6.07489	1.14543	11.0044	OK
NCU08121	18672	supercont10.1	345813	346564	9.74649	3.50261	15.9904	OK
NCU08120	18671	supercont10.1	343619	345467	30.5032	19.4572	41.5491	OK
NCU11433	18674	supercont10.1	351912	353209	2.02699	0	4.87444	OK
NCU08119	18670	supercont10.1	340164	343279	44.0594	30.7839	57.3348	OK
NCU07507	18678	supercont10.1	366922	367395	6.69173	1.51806	11.8654	OK
NCU08118	18669	supercont10.1	335203	339209	21.3898	12.14	30.6397	OK
NCU07509	18675	supercont10.1	356472	357880	33.3464	21.7971	44.8957	OK
NCU07508	18676	supercont10.1	359461	361343	0	0	0	OK
NCU11434	18677	supercont10.1	363637	366043	1.44286	0	3.84525	OK
NCU10647	18673	supercont10.1	348391	351481	23.0431	13.4425	32.6438	OK
NCU07505	18680	supercont10.1	377758	380096	12.1739	5.19566	19.1521	OK
NCU07501	18684	supercont10.1	393676	395053	0	0	0	OK
NCU07503	18682	supercont10.1	387406	388607	75.2909	57.9368	92.6449	OK
NCU07499	18686	supercont10.1	400254	401476	0	0	0	OK
NCU07500	18685	supercont10.1	397224	398634	0	0	0	OK
NCU07504	18681	supercont10.1	381466	384072	34.4076	22.676	46.1392	OK
NCU07497	18688	supercont10.1	406806	407686	8.73842	2.82625	14.6506	OK
NCU07502	18683	supercont10.1	389882	392501	15.8313	7.87362	23.7891	OK
NCU07494	18691	supercont10.1	420357	421545	25.125	15.1001	35.15	OK
NCU07495	18690	supercont10.1	417413	419446	60.051	44.5525	75.5496	OK
NCU07498	18687	supercont10.1	402192	406002	10.1727	3.79377	16.5516	OK
NCU07506	18679	supercont10.1	367974	369298	60.6956	45.1141	76.2771	OK
NCU07493	18692	supercont10.1	421556	423363	50.8111	36.5547	65.0674	OK
NCU07496	18689	supercont10.1	409002	415191	3.74621	0	7.61723	OK
NCU07492	18693	supercont10.1	423885	427797	7.41106	1.96641	12.8557	OK
NCU07491	18694	supercont10.1	429182	430913	157.574	132.468	182.68	OK
NCU07486	18698	supercont10.1	453961	454759	1.34602	0	3.66638	OK
NCU11435	18696	supercont10.1	441088	441910	103.327	82.9968	123.657	OK
NCU07485	18699	supercont10.1	455333	456143	15.6885	7.76678	23.6103	OK
NCU07489	18695	supercont10.1	437895	441056	43.5961	30.3906	56.8015	OK
NCU07487	18697	supercont10.1	448858	451692	2.19154	0	5.15231	OK
NCU07482	18702	supercont10.1	467420	468896	11.5951	4.7848	18.4054	OK
NCU07483	18701	supercont10.1	464597	466955	24.3291	14.4642	34.194	OK
NCU07480	18704	supercont10.1	479575	482143	0	0	0	OK
NCU07479	18705	supercont10.1	486621	490547	0.456775	0	1.80848	OK
NCU07478	18706	supercont10.1	491456	493625	9.88947	3.59996	16.179	OK
NCU07481	18703	supercont10.1	474657	478227	12.9572	5.75795	20.1564	OK
NCU07475	18709	supercont10.1	507933	509018	0.683567	0	2.33713	OK
NCU07484	18700	supercont10.1	456741	461929	4.7803	0.407521	9.15308	OK
NCU07476	18708	supercont10.1	502598	504670	28.7176	17.9998	39.4354	OK
NCU07477	18707	supercont10.1	494662	498533	11.8274	4.94918	18.7056	OK
NCU07474	18710	supercont10.1	512427	513927	310.593	275.346	345.84	OK
NCU07472	18712	supercont10.1	519549	521529	33.2772	21.7399	44.8145	OK
NCU07473	18711	supercont10.1	514583	518790	35.0685	23.2248	46.9122	OK
NCU07471	18713	supercont10.1	522027	523738	197.413	169.312	225.513	OK
NCU07468	18714	supercont10.1	530714	532755	53.2283	38.6367	67.8198	OK
NCU07466	18716	supercont10.1	537392	538667	56.8429	41.7641	71.9218	OK
NCU07467	18715	supercont10.1	536100	537355	403.142	362.986	443.299	OK
NCU07462	18720	supercont10.1	547789	548753	0	0	0	OK
NCU07464	18718	supercont10.1	541585	543147	1.53005	0	4.00395	OK
NCU07465	18717	supercont10.1	539970	541429	320.199	284.411	355.988	OK
NCU07460	18722	supercont10.1	553309	555194	18.991	10.2752	27.7067	OK
NCU07461	18721	supercont10.1	549632	552252	0.595296	0	2.13841	OK
NCU07463	18719	supercont10.1	543681	546443	1.28717	0	3.55625	OK
NCU11436	18724	supercont10.1	559255	560671	5.22664	0.65427	9.79901	OK
NCU07459	18723	supercont10.1	556024	558250	77.8311	60.1867	95.4755	OK
NCU07457	18726	supercont10.1	564053	565991	11.2078	4.5122	17.9034	OK
NCU07456	18727	supercont10.1	566014	567078	64.0113	48.0099	80.0127	OK
NCU07458	18725	supercont10.1	560707	562798	125.532	103.124	147.94	OK
NCU07455	18728	supercont10.1	568307	569942	2.84615	0	6.22025	OK
NCU07454	18729	supercont10.1	571036	571955	36.8432	24.7035	48.983	OK
NCU07452	18731	supercont10.1	576061	577544	3.68169	0	7.51924	OK
NCU07453	18730	supercont10.1	574656	576042	46.8834	33.1891	60.5777	OK
NCU07450	18733	supercont10.1	582487	583595	3.43146	0	7.13631	OK
NCU07451	18732	supercont10.1	578926	581425	47.5945	33.7967	61.3922	OK
NCU07448	18735	supercont10.1	587089	588592	2.20013	0	5.16669	OK
NCU07447	18736	supercont10.1	594028	596949	14.957	7.22213	22.6918	OK
NCU07449	18734	supercont10.1	584436	585580	1532.07	1453.79	1610.36	OK
NCU07445	18738	supercont10.1	599619	603007	6.39975	1.3402	11.4593	OK
NCU07442	18740	supercont10.1	615807	617908	27.8188	17.2701	38.3675	OK
NCU07441	18741	supercont10.1	620824	621405	141.345	117.567	165.122	OK
NCU07440	18742	supercont10.1	621625	624804	20.0925	11.1275	29.0574	OK
NCU07443	18739	supercont10.1	609536	615061	24.2785	14.4239	34.1332	OK
NCU07439	18743	supercont10.1	625181	625781	584.147	535.808	632.485	OK
NCU07438	18744	supercont10.1	627152	629587	36.1759	24.1466	48.2052	OK
NCU07436	18746	supercont10.1	632720	633749	6.59153	1.45673	11.7263	OK
NCU07437	18745	supercont10.1	630291	632275	328.477	292.229	364.725	OK
NCU07435	18747	supercont10.1	634504	636255	56.9014	41.8148	71.9881	OK
NCU07434	18748	supercont10.1	636903	637950	301.362	266.642	336.082	OK
NCU07432	18750	supercont10.1	644138	645841	51.4799	37.13	65.8298	OK
NCU07429	18752	supercont10.1	658019	658981	0	0	0	OK
NCU07427	18754	supercont10.1	666138	666602	2.64857	0	5.90345	OK
NCU07430	18751	supercont10.1	653302	655158	83.2592	65.0099	101.509	OK
NCU10006	18755	supercont10.1	698751	699702	1.2177	0	3.4247	OK
NCU07428	18753	supercont10.1	662387	663626	44.3987	31.0723	57.7252	OK
NCU07433	18749	supercont10.1	638339	642524	0	0	0	OK
NCU07446	18737	supercont10.1	597821	599464	204.265	175.681	232.849	OK
NCU09066	18760	supercont10.1	739986	740998	2.61247	0	5.8451	OK
NCU10008	18757	supercont10.1	716980	719193	265.757	233.153	298.361	OK
NCU09070	18763	supercont10.1	751534	752440	3.92889	0	7.89317	OK
NCU09065	18759	supercont10.1	726427	730465	5.90019	1.04213	10.7583	OK
NCU09069	18762	supercont10.1	747757	749887	36.01	24.0083	48.0116	OK
NCU10839	18766	supercont10.1	761515	762264	0	0	0	OK
NCU09072	18765	supercont10.1	758473	759986	1.33799	0	3.65143	OK
NCU09064	18758	supercont10.1	720669	724628	0.906764	0	2.81125	OK
NCU09068	18761	supercont10.1	742644	745932	41.7596	28.8353	54.6839	OK
NCU09075	18769	supercont10.1	766682	766973	0	0	0	OK
NCU09074	18768	supercont10.1	764937	765847	0.307154	0	1.41558	OK
NCU09073	18767	supercont10.1	763752	764911	10.807	4.23221	17.3818	OK
NCU09071	18764	supercont10.1	753838	756280	28.1602	17.547	38.7735	OK
NCU09078	18772	supercont10.1	772023	773150	13.5885	6.21598	20.961	OK
NCU09077	18771	supercont10.1	770677	772001	15.5446	7.65925	23.4299	OK
NCU09076	18770	supercont10.1	767216	770233	136.244	112.899	159.589	OK
NCU09081	18775	supercont10.1	793681	794386	0	0	0	OK
NCU09080	18774	supercont10.1	791938	792235	0	0	0	OK
NCU09082	18776	supercont10.1	798218	798824	0	0	0	OK
NCU09084	18777	supercont10.1	804396	805159	0	0	0	OK
NCU09079	18773	supercont10.1	774202	777839	48.289	34.391	62.1871	OK
NCU09087	18779	supercont10.1	816117	818954	5.5426	0.834054	10.2511	OK
NCU09088	18780	supercont10.1	819260	820854	122.705	100.551	144.859	OK
NCU09085	18778	supercont10.1	808581	811110	12.4548	6.69361	18.216	OK
NCU11439	18778	supercont10.1	810665	812203	9.09145	5.58997	12.5929	OK
NCU10007	18756	supercont10.1	710760	713665	195.766	167.783	223.75	OK
NCU09090	18782	supercont10.1	823224	825250	21.0874	11.9032	30.2716	OK
NCU09091	18783	supercont10.1	826917	828833	9.72693	3.48933	15.9645	OK
NCU09094	18786	supercont10.1	836280	837739	4.25563	0.129795	8.38147	OK
NCU09092	18784	supercont10.1	829361	831629	8.98202	2.98802	14.976	OK
NCU09093	18785	supercont10.1	831802	834075	1.41899	0	3.80142	OK
NCU09096	18788	supercont10.1	841871	843028	2.04703	0	4.90852	OK
NCU09095	18787	supercont10.1	837998	839866	27.6042	17.0963	38.1121	OK
NCU09099	18791	supercont10.1	851720	853021	0.516775	0	1.95452	OK
NCU09098	18790	supercont10.1	848011	849962	14.7933	7.10088	22.4857	OK
NCU09100	18792	supercont10.1	853740	855125	19.1506	10.3983	27.9029	OK
NCU09097	18789	supercont10.1	843509	847137	25.0538	15.0431	35.0646	OK
NCU09102	18794	supercont10.1	858883	860698	22.8621	13.2992	32.4249	OK
NCU11440	18797	supercont10.1	926375	927148	5.42929	0.76912	10.0895	OK
NCU09101	18793	supercont10.1	856137	858306	64.5239	48.4586	80.5893	OK
NCU09103	18795	supercont10.1	860999	863156	4.8648	0.453543	9.27606	OK
NCU02183	18800	supercont10.1	951197	951623	0	0	0	OK
NCU02187	18798	supercont10.1	928671	930614	214.483	185.192	243.773	OK
NCU02182	18801	supercont10.1	952739	955217	10.8056	4.23125	17.38	OK
NCU02184	18799	supercont10.1	938549	943577	19.77	10.8773	28.6627	OK
NCU09104	18796	supercont10.1	863463	871441	10.2821	3.86896	16.6952	OK
NCU11441	18805	supercont10.1	974674	976129	0	0	0	OK
NCU02177	18806	supercont10.1	977131	978509	24.4379	14.5509	34.3248	OK
NCU02176	18807	supercont10.1	978972	980374	21.3067	12.0748	30.5385	OK
NCU02179	18803	supercont10.1	965258	968393	13.5009	6.15219	20.8496	OK
NCU11442	18808	supercont10.1	980961	982105	34.1896	22.4952	45.8839	OK
NCU11443	18810	supercont10.1	988543	989478	1.97421	0	4.78434	OK
NCU02174	18811	supercont10.1	992119	993756	15.9084	7.93131	23.8854	OK
NCU02175	18809	supercont10.1	984669	987409	32.9832	21.497	44.4694	OK
NCU02171	18814	supercont10.1	1008854	1010409	0.695117	0	2.36259	OK
NCU02181	18802	supercont10.1	955598	957176	1426.92	1351.37	1502.47	OK
NCU02178	18804	supercont10.1	969498	974473	0.105695	0	0.755911	OK
NCU02169	18816	supercont10.1	1017279	1018533	3.75471	0	7.63013	OK
NCU02168	18817	supercont10.1	1019486	1021229	6.42867	1.35771	11.4996	OK
NCU02170	18815	supercont10.1	1014236	1016969	2.01076	0	4.84679	OK
NCU11444	18819	supercont10.1	1031189	1031840	1.31165	0	3.60219	OK
NCU02167	18818	supercont10.1	1022199	1024586	19.8694	10.9544	28.7845	OK
NCU02173	18812	supercont10.1	996322	1000576	14.6488	6.99403	22.3035	OK
NCU02165	18820	supercont10.1	1034057	1037098	7.32364	1.9112	12.7361	OK
NCU02172	18813	supercont10.1	1002514	1006923	10.9576	4.33712	17.578	OK
NCU02159	18824	supercont10.1	1051354	1052575	16.8174	8.61561	25.0192	OK
NCU02158	18825	supercont10.1	1054429	1056607	5.85921	1.01805	10.7004	OK
NCU02160	18823	supercont10.1	1048446	1050438	221.768	191.984	251.552	OK
NCU11445	18828	supercont10.1	1062037	1063387	5.81283	0.99087	10.6348	OK
NCU02155	18827	supercont10.1	1059591	1061748	7.6793	2.13699	13.2216	OK
NCU11446	18829	supercont10.1	1063533	1064640	90.9581	71.8838	110.033	OK
NCU02153	18830	supercont10.1	1064844	1067144	14.7551	7.07263	22.4376	OK
NCU02162	18822	supercont10.1	1042473	1044463	23.055	16.4049	29.7051	OK
NCU02161	18822	supercont10.1	1043594	1045998	14.1221	8.68497	19.5592	OK
NCU02152	18831	supercont10.1	1068119	1071250	20.5563	11.4885	29.6241	OK
NCU02149	18834	supercont10.1	1077393	1078619	39.1733	26.6556	51.691	OK
NCU02150	18833	supercont10.1	1074710	1077175	8.01602	2.3535	13.6785	OK
NCU02151	18832	supercont10.1	1071747	1074186	37.2236	25.0213	49.4258	OK
NCU11447	18836	supercont10.1	1082464	1083178	11.6922	4.85346	18.531	OK
NCU02157	18826	supercont10.1	1056883	1058195	27.1505	19.4982	34.8028	OK
NCU02156	18826	supercont10.1	1058135	1059135	35.6658	27.5209	43.8107	OK
NCU02145	18839	supercont10.1	1090818	1091136	0	0	0	OK
NCU02146	18838	supercont10.1	1087389	1089342	0	0	0	OK
NCU02147	18837	supercont10.1	1084287	1086341	12.9168	5.72879	20.1048	OK
NCU02144	18841	supercont10.1	1100619	1101246	0	0	0	OK
NCU02143	18842	supercont10.1	1104930	1105465	0	0	0	OK
NCU02148	18835	supercont10.1	1079446	1082246	51.0934	36.7975	65.3894	OK
NCU02142	18843	supercont10.1	1107161	1108337	5.90324	1.04392	10.7626	OK
NCU10687	18840	supercont10.1	1094866	1097657	46.9242	33.224	60.6245	OK
NCU02138	18845	supercont10.1	1121273	1122983	46.3676	32.7489	59.9864	OK
NCU02139	18844	supercont10.1	1116621	1119445	45.2381	31.7862	58.6899	OK
NCU02137	18846	supercont10.1	1124750	1126948	24.7028	14.7624	34.6431	OK
NCU02164	18821	supercont10.1	1038527	1040752	148.498	124.426	172.571	OK
NCU02163	18821	supercont10.1	1040527	1041754	9.61626	8.63749	10.595	OK
NCU02136	18847	supercont10.1	1127153	1129113	718.115	664.52	771.711	OK
NCU02134	18848	supercont10.1	1130545	1133893	114.182	92.8109	135.553	OK
NCU09089	18781	supercont10.1	821654	823144	1139.23	1071.72	1206.73	OK
NCU02132	18850	supercont10.1	1138023	1138973	7.59565	2.08361	13.1077	OK
NCU02129	18853	supercont10.1	1149306	1150509	0.53722	0	2.00313	OK
NCU02130	18852	supercont10.1	1146763	1148885	10.9748	4.34913	17.6004	OK
NCU02128	18854	supercont10.1	1153066	1155121	56.1381	41.1531	71.1232	OK
NCU02127	18855	supercont10.1	1156561	1158519	26.8712	16.5037	37.2387	OK
NCU02133	18849	supercont10.1	1135234	1136394	2517.92	2417.56	2618.27	OK
NCU02125	18857	supercont10.1	1164047	1165206	32.0094	20.694	43.3248	OK
NCU02126	18856	supercont10.1	1159042	1160654	84.9221	66.4914	103.353	OK
NCU02131	18851	supercont10.1	1140089	1145376	20.4156	11.3789	29.4523	OK
NCU02123	18859	supercont10.1	1167283	1168824	10.887	4.2879	17.4861	OK
NCU02122	18860	supercont10.1	1170007	1172415	41.9875	29.0279	54.947	OK
NCU02121	18861	supercont10.1	1172475	1175140	9.69414	3.46705	15.9212	OK
NCU02118	18865	supercont10.1	1197937	1199468	9.05425	3.03619	15.0723	OK
NCU10232	18862	supercont10.1	1177804	1181278	22.6805	13.1557	32.2053	OK
NCU02117	18866	supercont10.1	1199979	1201413	60.086	44.583	75.589	OK
NCU02119	18864	supercont10.1	1193787	1197015	5.82433	0.997602	10.6511	OK
NCU02116	18867	supercont10.1	1201558	1202789	34.4008	22.6704	46.1313	OK
NCU02115	18868	supercont10.1	1203418	1207045	14.5283	6.90509	22.1515	OK
NCU02120	18863	supercont10.1	1187864	1193033	8.31658	2.54888	14.0843	OK
NCU02113	18870	supercont10.1	1238105	1239873	95.7961	76.221	115.371	OK
NCU02110	18873	supercont10.1	1254935	1257059	30.1947	19.2047	41.1846	OK
NCU02111	18872	supercont10.1	1246774	1251244	55.0705	40.2286	69.9124	OK
NCU02112	18871	supercont10.1	1240694	1246261	12.7188	5.58609	19.8514	OK
NCU02108	18875	supercont10.1	1260339	1261180	18.3923	9.81506	26.9696	OK
NCU02106	18877	supercont10.1	1264805	1265483	5.27991	0.6843	9.87552	OK
NCU02105	18878	supercont10.1	1266615	1267695	13.5526	6.18983	20.9154	OK
NCU02107	18876	supercont10.1	1261955	1264006	8.92674	2.95121	14.9023	OK
NCU02104	18879	supercont10.1	1268173	1269990	10.1954	3.80937	16.5815	OK
NCU02109	18874	supercont10.1	1257698	1260121	244.476	213.205	275.748	OK
NCU11212	18881	supercont10.1	1277918	1278434	269.09	236.282	301.898	OK
NCU11211	18882	supercont10.1	1280625	1281535	13.8603	6.41445	21.3062	OK
NCU11449	18883	supercont10.1	1283562	1284354	0	0	0	OK
NCU11041	18886	supercont10.1	1290548	1292409	9.47334	3.31758	15.6291	OK
NCU02124	18858	supercont10.1	1165537	1167016	500.592	455.844	545.34	OK
NCU02101	18884	supercont10.1	1284478	1287313	4.09817	0.0493848	8.14696	OK
NCU02100	18885	supercont10.1	1288082	1290439	11.8372	4.95618	18.7183	OK
NCU02099	18887	supercont10.1	1294507	1296535	44.1202	30.8356	57.4048	OK
NCU02103	18880	supercont10.1	1271482	1277289	49.3258	35.2793	63.3722	OK
NCU02114	18869	supercont10.1	1232088	1235632	167.283	143.373	191.192	OK
NCU11448	18869	supercont10.1	1235502	1237073	55.361	49.6551	61.0669	OK
NCU02096	18889	supercont10.1	1304585	1306943	4.90193	0.473871	9.32999	OK
NCU02095	18890	supercont10.1	1308487	1309524	62.7862	46.9387	78.6338	OK
NCU02092	18892	supercont10.1	1331089	1334385	4.54336	0.280327	8.80639	OK
NCU02094	18891	supercont10.1	1313485	1315839	34.8631	23.0541	46.6722	OK
NCU11450	18895	supercont10.1	1362276	1362797	0	0	0	OK
NCU02090	18894	supercont10.1	1358667	1360571	133.028	109.961	156.096	OK
NCU02088	18897	supercont10.1	1369549	1371000	1.06219	0	3.12344	OK
NCU10903	18900	supercont10.1	1388104	1389128	0	0	0	OK
NCU02091	18893	supercont10.1	1353942	1357548	4.84041	0.440222	9.24059	OK
NCU02087	18898	supercont10.1	1373702	1376146	2.29273	0	5.32108	OK
NCU02089	18896	supercont10.1	1365938	1368418	20.7157	11.6128	29.8187	OK
NCU02084	18902	supercont10.1	1396216	1397959	23.2534	13.6091	32.8978	OK
NCU02085	18901	supercont10.1	1393133	1395617	3.14849	0	6.69729	OK
NCU02086	18899	supercont10.1	1383368	1386083	13.629	6.24553	21.0125	OK
NCU02081	18905	supercont10.1	1427428	1427674	2.32936	0	5.38181	OK
NCU11210	18906	supercont10.1	1429650	1430693	0	0	0	OK
NCU02080	18907	supercont10.1	1431810	1432828	62.5349	46.7191	78.3507	OK
NCU02079	18908	supercont10.1	1437839	1439439	65.4327	49.2546	81.6107	OK
NCU02078	18909	supercont10.1	1440549	1443576	15.9061	7.92958	23.8825	OK
NCU02077	18910	supercont10.1	1444408	1447511	0.270658	0	1.31115	OK
NCU02082	18904	supercont10.1	1408741	1413819	13.0275	5.80874	20.2462	OK
NCU02076	18911	supercont10.1	1447901	1449760	137.11	113.692	160.529	OK
NCU02073	18914	supercont10.1	1459391	1460486	5.18006	0.628111	9.73201	OK
NCU02071	18915	supercont10.1	1462795	1463885	51.4841	37.1336	65.8346	OK
NCU02074	18913	supercont10.1	1454932	1457794	21.2005	11.9917	30.4093	OK
NCU02075	18912	supercont10.1	1450890	1453703	342.985	305.945	380.025	OK
NCU11451	18917	supercont10.1	1467833	1469900	6.51162	1.40805	11.6152	OK
NCU02070	18916	supercont10.1	1464593	1466778	31.0164	19.878	42.1549	OK
NCU02083	18903	supercont10.1	1398924	1407374	16.7354	8.55361	24.9172	OK
NCU02066	18920	supercont10.1	1485114	1487487	8.04222	2.37046	13.714	OK
NCU02065	18921	supercont10.1	1488441	1491291	13.3326	6.02983	20.6354	OK
NCU02062	18924	supercont10.1	1498417	1499287	1.44971	0	3.85779	OK
NCU02064	18922	supercont10.1	1491944	1493292	151.067	126.485	175.648	OK
NCU02098	18888	supercont10.1	1296846	1298155	16.5402	14.5814	18.4991	OK
NCU02097	18888	supercont10.1	1298091	1299820	305.599	271.654	339.543	OK
NCU02061	18925	supercont10.1	1500620	1501864	9.12887	3.08606	15.1717	OK
NCU02063	18923	supercont10.1	1494172	1496667	15.1514	7.36643	22.9363	OK
NCU02060	18926	supercont10.1	1502742	1504218	17.014	8.76441	25.2636	OK
NCU02067	18919	supercont10.1	1481662	1483750	11.9362	8.02763	15.8448	OK
NCU11209	18919	supercont10.1	1483657	1484725	88.6177	73.0446	104.191	OK
NCU02058	18928	supercont10.1	1509164	1510904	13.2611	5.97797	20.5443	OK
NCU02056	18930	supercont10.1	1519954	1521714	15.0663	7.30327	22.8294	OK
NCU02059	18927	supercont10.1	1506161	1508350	327.7	291.495	363.905	OK
NCU10806	18934	supercont10.1	1539622	1541898	21.5511	12.2664	30.8357	OK
NCU02057	18929	supercont10.1	1511246	1516011	17.4505	9.09577	25.8053	OK
NCU02053	18932	supercont10.1	1527002	1531046	4.01678	0.00839727	8.02516	OK
NCU02051	18935	supercont10.1	1543466	1548542	20.0276	11.0771	28.978	OK
NCU02055	18931	supercont10.1	1522708	1524591	52.9556	39.7878	66.1234	OK
NCU02054	18931	supercont10.1	1524577	1526403	7.57998	5.22321	9.93676	OK
NCU02049	18936	supercont10.1	1551145	1555920	5.00511	0.530689	9.47953	OK
NCU02048	18937	supercont10.1	1559928	1564469	15.4455	7.58532	23.3056	OK
